Date,Sales,
1/1/09,"7,855",
1/2/09,"12,329",
1/3/09,"11,617",
1/4/09,"7,684",
1/5/09,"8,448",
1/6/09,"8,022",
1/7/09,"8,410",
1/8/09,"7,850",
1/9/09,"12,399",
1/10/09,"11,919",
1/11/09,"7,767","9,259"
1/12/09,"8,199","9,224"
1/13/09,"8,522","9,295"
1/14/09,"8,339","9,285"
1/15/09,"8,112","9,322"
1/16/09,"12,486","9,335"
1/17/09,"12,371","9,399"
1/18/09,"8,180","9,458"
1/19/09,"8,081","9,442"
1/20/09,"7,814","9,340"
1/21/09,"8,699","9,392"
1/22/09,"8,115","9,392"
1/23/09,"12,318","9,368"
1/24/09,"12,080","9,327"
1/25/09,"8,439","9,364"
1/26/09,"8,596","9,437"
1/27/09,"8,559","9,544"
1/28/09,"8,286","9,485"
1/29/09,"8,237","9,502"
1/30/09,"12,900","9,585"
1/31/09,"12,640","9,665"
2/1/09,"8,072","9,613"
2/2/09,"9,040","9,676"
2/3/09,"8,926","9,729"
2/4/09,"8,211",FALSE
2/5/09,"8,614",
2/6/09,"12,752",
2/7/09,"12,337",
2/8/09,"8,634",
2/9/09,"8,164",
2/10/09,"8,460",
2/11/09,"8,705",
2/12/09,"8,803",
2/13/09,"12,423",
2/14/09,"12,233",
2/15/09,"8,519",
2/16/09,"8,633",
2/17/09,"8,968",
2/18/09,"8,991",
2/19/09,"8,476",
2/20/09,"12,387",
2/21/09,"13,193",
2/22/09,"8,319",
2/23/09,"8,896",
2/24/09,"9,192",
2/25/09,"8,388",
2/26/09,"8,668",
2/27/09,"12,784",
2/28/09,"12,340",
3/1/09,"8,612",
3/2/09,"8,740",
3/3/09,"9,198",
3/4/09,"8,833",
3/5/09,"8,742",
3/6/09,"12,865",
3/7/09,"12,433",
3/8/09,"9,387",
3/9/09,"8,583",
3/10/09,"9,156",
3/11/09,"8,508",
3/12/09,"9,234",
3/13/09,"12,819",
3/14/09,"13,032",
3/15/09,"8,654",
3/16/09,"8,731",
3/17/09,"8,754",
3/18/09,"9,082",
3/19/09,"8,497","9,981"
3/20/09,"13,231",
3/21/09,"13,307",
3/22/09,"8,685",
3/23/09,"8,979",
3/24/09,"8,726",
3/25/09,"8,967",
3/26/09,"9,198",
3/27/09,"12,592",
3/28/09,"12,497",
3/29/09,"8,554",
3/30/09,"8,848",
3/31/09,"9,009",